"","id","stage","r.initial","s.initial","p.initial","r.final","s.final","p.final","class"
"1",1,1,1.00458410822407,0.85425,0.46145,1.00000007267831,0.839012471914292,0.446212471914291,2
"2",1,2,1.00458410822407,0.99575,0.2118,0.999999994197443,0.981134536361694,0.197184536361694,2
"3",1,3,1.00458410822407,0.6627,0.10815,1.00000000890222,0.596538244056702,0.0419882440567017,2
"4",1,4,1.00458410822407,0.83175,0.15405,1.00000000489732,0.75753663110733,0.0798366311073303,2
"5",1,5,1.00458410822407,0,0,1.00458410822407,0,0,3
"6",1,6,1.00458410822407,0,0,1.00458410822407,0,0,3
"7",2,1,1.00399250332126,0.9143,0.6077,1.00000008107781,0.903574597120285,0.596974597120285,2
"8",2,2,1.00399250332126,1,0.3124,1.00000009891937,0.988071862411499,0.300471862411499,2
"9",2,3,1.00399250332126,0.6922,0.1814,1.00000000521168,0.619245637130737,0.108445637130737,2
"10",2,4,1.00399250332126,0.8166,0.2722,0.999999989524458,0.755051954460144,0.210651954460144,2
"11",2,5,1.00399250332126,0,0,1.00399250332126,0,0,3
"12",2,6,1.00399250332126,0,0,1.00399250332126,0,0,3
"13",3,1,1.00384184398341,0.7942,0.3152,1.00000005040692,0.77850486907959,0.29950486907959,2
"14",3,2,1.00384184398341,0.9915,0.1112,1.00000004976698,0.978807681274414,0.0985076812744141,2
"15",3,3,1.00384184398341,0.6332,0.0349,1.0014757348809,0.5983,0,3
"16",3,4,1.00384184398341,0.8469,0.0359,1.0016506223521,0.811,0,3
"17",3,5,1.00384184398341,0,0,1.00384184398341,0,0,3
"18",3,6,1.00384184398341,0,0,1.00384184398341,0,0,3
"19",4,1,0.933455974925062,0.3106,0,0.999999948733036,0.953931891155243,0.643331891155243,1
"20",4,2,0.933455974925062,0.6143,0.4744,0.999999952639864,0.908151200199127,0.768251200199128,1
"21",4,3,0.933455974925062,0.8838,0.4215,0.960207423961369,1,0.5377,0
"22",4,4,0.933455974925062,0.9277,0.4986,0.958511883362648,1,0.5709,0
"23",4,5,0.933455974925062,1.02045,0.45585,0.929088226610189,1,0.4354,0
"24",4,6,0.933455974925062,0.4269,0.4269,1.00000003633707,0.812345352315903,0.812345352315903,1
"25",5,1,0.974042473313804,0.3603,0,1.00000002958436,0.678516549730301,0.318216549730301,1
"26",5,2,0.974042473313804,0.7076,0.5546,0.99999992993994,0.817299914932251,0.664299914932251,1
"27",5,3,0.974042473313804,0.9187,0.4621,0.997028377855089,1,0.5434,0
"28",5,4,0.974042473313804,0.9916,0.5476,0.976935697572042,1,0.556,0
"29",5,5,0.974042473313804,1.1795,0.4672,0.955910321511916,1,0.2877,0
"30",5,6,0.974042473313804,0.3603,0.3603,0.999999941205045,0.904334110021591,0.904334110021591,1
"31",6,1,0.868604976565451,0.2609,0,0.947316725468466,1,0.7391,0
"32",6,2,0.868604976565451,0.521,0.3942,0.984686387200554,1,0.8732,0
"33",6,3,0.868604976565451,0.8489,0.3809,0.89547010981153,1,0.532,0
"34",6,4,0.868604976565451,0.8638,0.4496,0.912075199241772,1,0.5858,0
"35",6,5,0.868604976565451,0.8614,0.4445,0.915779114697133,1,0.5831,0
"36",6,6,0.868604976565451,0.4935,0.4935,0.999999849939396,0.858864114284515,0.858864114284515,1
"37",7,1,1.05104824972374,0.754,0.63,1.00000001259793,0.445687369346619,0.321687369346619,2
"38",7,2,1.05104824972374,0.77,0.3,1.03164326557472,0.47,0,3
"39",7,3,1.05104824972374,0.75,0.33,1.00798225596055,0.42,0,3
"40",7,4,1.05104824972374,0.91,0.5,1.00000001857467,0.66393533706665,0.25393533706665,2
